Postcode,Average_total,Average_salary
3155,78339,62511
3156,85602,65686
3158,85042,67128
3159,88976,66735
3160,88201,66677
3161,139195,66884
3162,122921,68956
3163,94207,73287
3164,103020,49103
3165,95878,72320
3166,88719,69260
3167,84331,66618
3168,73032,59044
3169,73576,59281
3170,85491,64677
3171,67211,53098
3172,77752,59777
3173,79422,62553
3174,68107,55518
3175,70441,52088
3177,65504,48832
3178,86034,68117
3179,81478,64336
3180,80534,64667
3181,109617,80788
3182,104041,73615
3183,98763,70965
3184,119733,81436
3185,131331,78060
3186,192903,83303
3187,152193,81192
3188,141950,90038
3189,91677,67754
3190,99347,76335
3191,139404,83584
3192,94742,71638
3193,135449,79204
3194,97901,71673
3195,99149,73442
3196,89946,69676
3197,97474,67017
3198,81127,63174
3199,83653,62531
3200,66932,55215
3201,75799,62588
3202,93779,71478
3204,102984,76185
3205,124181,85055
3206,195685,99461
3207,139198,90612
3211,96516,66468
3212,86916,69423
3213,89535,65075
3214,69741,56253
3215,82778,62949
3216,85285,63190
3217,83833,67965
3218,104397,68063
3219,76368,59709
3220,115232,65104
3221,105116,57610
3222,83499,58316
3223,87928,53036
3224,78613,59511
3225,104373,48732
3226,89956,61586
3227,109313,63850
3228,98013,64207
3230,88025,54475
3231,94012,47835
3232,101311,38010
3233,74333,40881
3234,99837,42148
3235,78297,54437
3236,74223,55224
3237,58435,41590
3238,74440,45029
3239,63141,51634
3240,89471,60074
3241,80081,55717
3242,75173,50034
3243,77235,47460
3249,74547,50291
3250,74512,55774
3251,76055,52880
3254,71751,55604
3260,74718,49684
3264,74290,49951
3265,71568,45900
3266,70049,47035
3267,56681,37635
3268,70056,43923
3269,88811,46859
3270,87028,49624
3271,69147,37358
3272,73231,44731
3273,88042,19414
3274,83226,34102
3275,73539,55739
3276,73022,47498
3277,79023,49423
3278,70808,54920
3279,76185,42884
3280,78230,55903
3281,81602,57054
3282,75422,53970
3283,81521,52736
3284,83685,48874
3285,81288,49933
3286,78225,40193
