postcode,zone,rating,annual_prod,rebate
2450,3.0,1.382,9.1,3185.0
2452,3.0,1.382,9.1,3185.0
2453,3.0,1.382,9.1,3185.0
2454,3.0,1.382,9.1,3185.0
2455,3.0,1.382,9.1,3185.0
2456,3.0,1.382,9.1,3185.0
2460,3.0,1.382,9.1,3185.0
2462,3.0,1.382,9.1,3185.0
2463,3.0,1.382,9.1,3185.0
2464,3.0,1.382,9.1,3185.0
2465,3.0,1.382,9.1,3185.0
2466,3.0,1.382,9.1,3185.0
2469,3.0,1.382,9.1,3185.0
2470,3.0,1.382,9.1,3185.0
2471,3.0,1.382,9.1,3185.0
2472,3.0,1.382,9.1,3185.0
2473,3.0,1.382,9.1,3185.0
2474,3.0,1.382,9.1,3185.0
2475,3.0,1.382,9.1,3185.0
2476,3.0,1.382,9.1,3185.0
2477,3.0,1.382,9.1,3185.0
2478,3.0,1.382,9.1,3185.0
2479,3.0,1.382,9.1,3185.0
