Postcode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,AVG,Total
2043.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,18.0,19.0,8.0,4.0,7.0,6.0,8.0,5.0,12.0,13.0,20.0,8.0,6.380952380952381,134.0
2044.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,51.0,41.0,38.0,31.0,28.0,17.0,24.0,27.0,25.0,35.0,41.0,24.0,18.952380952380953,398.0
2045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,31.0,7.0,4.0,10.0,16.0,13.0,27.0,34.0,39.0,61.0,23.0,13.666666666666666,287.0
2046.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,21.0,107.0,109.0,63.0,23.0,42.0,51.0,39.0,44.0,76.0,92.0,162.0,61.0,42.76190476190476,898.0
2047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,24.0,40.0,20.0,15.0,7.0,15.0,11.0,17.0,26.0,24.0,52.0,18.0,13.19047619047619,277.0
2048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,28.0,25.0,17.0,8.0,10.0,11.0,9.0,10.0,25.0,24.0,36.0,16.0,10.857142857142858,228.0
2049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,44.0,43.0,22.0,16.0,21.0,10.0,15.0,17.0,27.0,41.0,51.0,20.0,16.38095238095238,344.0
2050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,18.0,33.0,6.0,5.0,14.0,12.0,13.0,13.0,7.0,17.0,5.0,7.571428571428571,159.0
2055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,1.0
2057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,1.0,0.9047619047619048,19.0
2059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,3.0
2060.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,25.0,22.0,8.0,6.0,3.0,15.0,12.0,13.0,15.0,14.0,42.0,12.0,9.523809523809524,200.0
2061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,21.0
2062.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,19.0,9.0,4.0,7.0,10.0,8.0,6.0,16.0,19.0,19.0,25.0,10.0,7.523809523809524,158.0
2063.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,45.0,36.0,21.0,12.0,17.0,29.0,16.0,30.0,37.0,43.0,64.0,36.0,18.904761904761905,397.0
2064.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,25.0,36.0,5.0,5.0,17.0,14.0,19.0,22.0,32.0,27.0,47.0,14.0,12.761904761904763,268.0
2065.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,12.0,92.0,89.0,43.0,21.0,38.0,27.0,36.0,31.0,52.0,57.0,92.0,49.0,30.857142857142858,648.0
